,CountryName,MNOName,Rank,Virtual
139,Singapore,Singtel Mobile with a digital sub-brand GOMO and heya,1,False
140,Singapore,StarHub with a digital sub-brand giga!,2,False
141,Singapore,M1,3,False
142,Singapore,SIMBA (formerly TPG Mobile),4,False
143,Singapore,GRID Communications,5,False
144,Singapore,Circles.Life (Using M1),1,True
145,Singapore,Zero1 (Using Singtel),2,True
146,Singapore,MyRepublic (Using StarHub for its 5G plans; Using M1 for its 4G plans),3,True
147,Singapore,"redONE (Using StarHub)
","4
",True
148,Singapore,VIVIFI (Using Singtel),5,True
149,Singapore,"Geenet Mobile (Using M1)
","6
",True
150,Singapore,"China Mobile CMLink SG (Using Singtel)
","7
",True
151,Singapore,"ZYM (Using Singtel)
","8
",True
152,Singapore,"Changi Mobile (Using M1)
","9
",True
153,Singapore,"Gorilla Mobile (Using M1)
","9
",True
154,Solomon Islands,Our Telekom,1,False
155,South Korea,SK Telecom,1,False
156,South Korea,"KT(formerly olleh, KTF)",2,False
157,South Korea,LG U+(formerly LG Telecom),3,False
158,Sri Lanka,"Dialog(Formerly MTN Network)
","1
",False
159,Sri Lanka,"SLTMobitel(Formerly Mobitel)
","2
",False
160,Sri Lanka,"Hutch•Includes the previous Etisalat network.[161]
","3
",False
161,Sri Lanka,"Airtel
","4
",False
162,Taiwan,Chunghwa Telecom 中華電信,1,False
163,Taiwan,Taiwan Mobile 台灣大哥大,2,False
164,Taiwan,Far EasTone 遠傳電信,3,False
165,Taiwan,T STAR 台灣之星,4,False
166,Taiwan,GT 亞太電信,5,False
167,Taiwan,"Circles.Life (Using Chunghwa)
","1
",True
168,Taiwan,"Ibon Mobile (Using FarEasTone)
","2
",True
169,Tajikistan,Tcell,1,False
170,Tajikistan,Babilon-Mobile,2,False
171,Tajikistan,ZET Mobile(Formerly Beeline),3,False
172,Tajikistan,MegaFon,4,False
173,Thailand,"AIS, AWN
(Advance Info Service), (Advance Wireless Network) with a digital sub-brand GOMO by AIS (formerly NU MOBILE by AIS)

",1,False
174,Thailand,"TrueMove H
2001-2005 (TA-Orange) or ( Orange TH)
2005-2012
(True Move)
2012-now
(True Move - H) rebrand after buy CDMA network provider on 850 mHz for the 850 mHz spectrum license's . (Hutchison CAT wireless multimedia) 

",2,False
175,Thailand,"Dtac or dtac
(Total Access Communication a member of Telenor group)
dtac-T
(dtac-Turbo) or (dtac-TOT) this is the co-resellers brands with the government's mobile operators ""TOT Mobile"" (Currently NT Mobile) on 2300 mHz spectrums.
(dtac Trinet Network) with a digital sub-brand FINN Mobile (formerly LINE Mobile TH)

",3,False
176,Thailand,"my by NT
",4,False
177,Thailand,"NT Mobile (formerly TOT Mobile)
",5,False
178,Thailand,IEC3G Buzzme (Host operator TOT),1,True
179,Thailand,i-Kool 3G (Host operator TOT),2,True
180,Thailand,MyWorld 3G  (Host operator CAT),3,True
181,Thailand,Penguin  (Host operator CAT & TOT),4,True
182,Thailand,"OPEN SIM i-mobile  (Host operator CAT)
",5,True
183,Thailand,"imobile-3GX  (Host operator CAT)
",6,True
184,Thailand,"168  (Host operator CAT)
",7,True
185,Thailand,"Mojo 3G (Host operator TOT)
",8,True
186,Thailand,Tune Talk (Host operator TOT),9,True
187,Thailand,Feels (Host operator TOT),10,True
188,Thailand,AJ SIM (Host operator TOT),11,True
189,Thailand,Redone (Host operator NT Mobile (formerly TOT Mobile)),12,True
190,Timor-Leste,Telemor,1,False
191,Timor-Leste,Timor Telecom,2,False
192,Timor-Leste,Telkomcel,3,False
193,Tonga,Digicel,1,False
194,Tonga,TCC,2,False
195,Turkmenistan,TM CELL  (Altyn Asyr),1,False
196,Turkmenistan,AȘTU,2,False
197,Tuvalu,TTC,1,False
198,Uzbekistan,UCell(Formerly Coscom),1,False
199,Uzbekistan,Beeline,2,False
200,Uzbekistan,Mobi.UZ(Formerly UMS),3,False
201,Uzbekistan,Uzmobile,4,False
202,Uzbekistan,Perfectum,5,False
203,Vanuatu,Vodafone Vanuatu,1,False
204,Vanuatu,Digicel,2,False
205,Vanuatu,AIL,3,False
206,Vanuatu,WanTok,4,False
207,Vietnam,Viettel Mobile,1,False
208,Vietnam,MobiFone,2,False
209,Vietnam,Vinaphone,3,False
210,Vietnam,Vietnamobile,4,False
211,Vietnam,Gmobile (formerly Beeline),5,False
0,Albania,Vodafone Albania,1,False
1,Albania,"One AlbaniaA network using  the One Telecommunications (formerly Telekom Albania and AMC) and ALBtelecom (Formerly Eagle Mobile, Telekomi Shqiptar) Network [2]
",2,False
2,Andorra,Andorra Telecom  (Formerly Servei de Telecomunicacions d'Andorra),1,False
3,Armenia,VivaCell-MTS,1,False
4,Armenia,Team Telecom Armenia,2,False
5,Armenia,Ucom,3,False
6,Austria,A1,1,False
7,Austria,"Magenta Telekom  (Formerly T-Mobile, max.mobil.)",2,False
8,Austria,Drei•Includes the previous Orange network.,3,False
9,Austria,"spusu
","4
",False
10,Azerbaijan,Azercell,1,False
11,Azerbaijan,Bakcell,2,False
12,Azerbaijan,Nar,3,False
13,Azerbaijan,Nakhtel (operating in Nakhchivan Autonomous Republic),4,False
14,Belarus,MTS,1,False
15,Belarus,A1(Formerly velcom),2,False
16,Belarus,Life,3,False
17,Belgium,Proximus  (formerly Belgacom),1,False
18,Belgium,"Orange  (formerly Mobistar, OBE)",2,False
19,Belgium,Base ,3,False
20,Bosnia and Herzegovina,BH Telecom,1,False
21,Bosnia and Herzegovina,m:tel,2,False
22,Bosnia and Herzegovina,HT Eronet,3,False
23,Croatia,"Hrvatski Telekom  (Formerly T-Mobile, HTmobile)",1,False
24,Croatia,"A1  (Formerly Vip, Vipnet)",2,False
25,Croatia,"Telemach(Formerly Tele2)
",3,False
26,Cyprus,"Epic  (Formerly MTN, Areeba)",1,False
27,Cyprus,Cytamobile,2,False
28,Cyprus,PrimeTel,3,False
29,Cyprus,Kuzey Kıbrıs Turkcell,1,False
30,Cyprus,Telsim Vodafone,2,False
31,Czech Republic,T-Mobile  (Formerly Paegas),1,False
32,Czech Republic,"O2  (Formerly Eurotel, Český Telecom) ",2,False
33,Czech Republic,Vodafone  (Formerly Oskar),3,False
34,Denmark,TDC,1,False
35,Denmark,Telenor  (Formerly Sonofon),2,False
36,Denmark,Telia,3,False
37,Denmark,3,4,False
38,Estonia,"Telia
(Formerly EMT)

",1,False
39,Estonia,Elisa  (Formerly Radiolinja),2,False
40,Estonia,"Tele2
(Formerly Q-GSM)

",3,False
41,Faroe Islands,Føroya Tele,1,False
42,Faroe Islands,"Hey  (Formerly Vodafone, Kall)",2,False
43,Faroe Islands,Tosa,3,False
44,Finland,Elisa  (Formerly Radiolinja),1,False
45,Finland,"Telia  (Formerly Telecom Finland, Sonera)",2,False
46,Finland,DNA,3,False
47,Finland,Ålcom  (Formerly ÅMT / Ålands Mobiltelefon),4,False
48,France,Orange  (Formerly Itineris),1,False
49,France,SFR  (Formerly Prixtel),2,False
50,France,Bouygues Telecom,3,False
51,France,Free Mobile,4,False
52,Georgia,Magticom,1,False
53,Georgia,Silknet  (Formerly Geocell),2,False
54,Georgia,Cellfie (Formerly Beeline),3,False
55,Germany,"Telekom  (Formerly D1 DeTeMobil, T-Mobile)",1,False
56,Germany,O2  (Formerly VIAG Interkom) • Includes the previous E-Plus network.,2,False
57,Germany,"Vodafone GmbH  (known as Vodafone Deutschland),(Formerly Vodafone-D2 Mannesmann,D2 Mannesmann)",3,False
58,Gibraltar,Gibtelecom,1,False
59,Greece,Cosmote,1,False
60,Greece,"Vodafone Greece(Formerly Vodafone-Panafon,Panafon) •Includes the previous Vodafone Greece network.",2,False
61,Greece,"Nova(Formerly Telestet, TIM, WIND) •Includes the previous Nova network.",3,False
62,Guernsey,Sure,1,False
63,Guernsey,JT,2,False
64,Guernsey,Airtel-Vodafone,3,False
65,Hungary,"Telekom  (Formerly Westel, T-Mobile)",1,False
66,Hungary,"Yettel (Formerly Telenor, Pannon)",2,False
67,Hungary,Vodafone,3,False
68,Hungary,Digi,4,False
69,Iceland,Síminn(formerly Landssíminn),1,False
70,Iceland,Nova,2,False
71,Iceland,"Vodafone(formerly Og Vodafone, Íslandssími)",3,False
72,Ireland,"Three•Includes the previous O2 network
",1,False
73,Ireland,"Vodafone(Formerly Eircell)
",2,False
74,Ireland,"eir(Formerly Meteor)
",3,False
75,Isle of Man,Manx Telecom,1,False
76,Isle of Man,Sure,2,False
77,Italy,"Wind Tre
(Formerly Wind and 3)

",1,False
78,Italy,"TIM
(Formerly SIP)

",2,False
79,Italy,"Vodafone
(FormerlyVodafone-Omnitel ,Omnitel)

",3,False
80,Italy,"Iliad
",4,False
81,Italy,"Fastweb
",5,False
82,Jersey,JT,1,False
83,Jersey,Sure,2,False
84,Jersey,Airtel-Vodafone,3,False
85,Kosovo,Vala,1,False
86,Kosovo,Ipko,2,False
87,Latvia,LMT,1,False
88,Latvia,Tele2,2,False
89,Latvia,Bite,3,False
90,Latvia,Triatel,4,False
91,Latvia,Xomobile,5,False
92,Liechtenstein,FL1 [de]   (formerly Mobilkom Liechtenstein AG),1,False
93,Liechtenstein,7acht   (formerly Orange FL),2,False
94,Liechtenstein,Swisscom FL,3,False
95,Lithuania,Tele2(Pildyk),1,False
96,Lithuania,"Telia(Ezys; Telia Extra)(Formerly Omnitel, Teo LT)",2,False
97,Lithuania,Bitė(Labas),3,False
98,Lithuania,Mezon,4,False
99,Luxembourg,Orange,1,False
100,Luxembourg,Tango,2,False
101,Luxembourg,POST,3,False
102,Luxembourg,Luxembourg Online,4,False
103,Malta,Epic  (Formerly Vodafone Malta and Telecell),1,False
104,Malta,GO  (Formerly MALTACOM),2,False
105,Malta,Melita,3,False
106,Moldova,Orange,1,False
107,Moldova,Moldcell,2,False
108,Moldova,Moldtelecom,3,False
109,Moldova,Interdnestrcom operating in Transnistria region only,4,False
110,Monaco,Monaco Telecom,1,False
111,Montenegro,m:tel,1,False
112,Montenegro,Telekom,2,False
113,Montenegro,One,3,False
114,Netherlands,"T-Mobile (Formerly Ben)•Includes the previous Tele2 and Orange networks.
",1,False
115,Netherlands,KPN •Includes the previous Telfort network.,2,False
116,Netherlands,Vodafone  (Formerly Libertel),3,False
117,North Macedonia,"Telekom  (Formerly T-Mobile, MOBIMAK)",1,False
118,North Macedonia,"A1 (Formerly one.Vip, Cosmofon)",2,False
119,Norway,Telenor,1,False
120,Norway,Telia (Formerly NetCom) •Includes the previous Tele2 network.,2,False
121,Norway,"Ice (Formerly Ice.net)
",3,False
122,Poland,Orange (Formerly Idea),1,False
