CountryName,f0_,avg_latitude,avg_longitude,avg_minrtt,median_minrtt,avg_meanthroughputmbps,avg_lossraate,MostRecentTestTime,LeastRecentTestTime,TestSpanDays,count_measurements
Saint Barthélemy,BL,17.883407484076439,-62.849757961783517,1124.00703594176,133.965,26.595712352520909,0.043612619425911922,2023-03-26 02:48:20.670685 UTC,2021-06-02 20:02:56.375040 UTC,661,4396
Poland,PL,51.876851871217987,19.871726615614705,616.17274932410714,11.272,76.333335222304143,0.010833246173230266,2023-09-30 23:22:50.128176 UTC,2022-09-13 07:49:34.567607 UTC,382,72867
Japan,JP,35.735468698097634,138.68643154068641,271.2507691583919,25.146,86.666382978292518,0.017776104836252492,2023-09-30 23:59:55.539397 UTC,2021-06-01 04:37:49.810477 UTC,851,70519172
Ireland,IE,53.2240448205944,-6.8730219707858407,836.030494731529,12.812,44.048677359817709,0.0098289616250721613,2023-09-30 23:59:14.170325 UTC,2021-06-01 23:57:54.300084 UTC,851,13404361
Mozambique,MZ,-23.874754843915369,33.32675856390631,3455.0778919390978,22.983,10.874786974896658,0.028358255893898777,2023-09-30 23:56:59.195512 UTC,2022-09-02 18:37:29.542446 UTC,393,105968
United States,US,36.740880257873961,-95.269145119363728,240.58714301169789,37.383,39.152034404009079,0.01243096745043768,2023-09-30 23:59:53.906857 UTC,2021-06-01 20:24:39.610504 UTC,851,104466063
Germany,DE,50.941450357852396,9.3524394876251851,821.4702239597874,18.224,50.396583898938339,0.014801020886166704,2023-09-30 23:59:47.561250 UTC,2021-06-01 23:33:49.005054 UTC,851,133817411
Brazil,BR,-21.815818139699356,-46.33506248868855,1410.1872288040095,34.859,50.186239997115976,0.021127016002959104,2023-09-30 23:59:57.818228 UTC,2021-06-01 21:51:17.063287 UTC,851,89875394
Philippines,PH,12.631321950891135,122.24844945915252,1549.7505194168809,37.53,21.924197607061224,0.030651349400105578,2023-09-30 23:59:47.620119 UTC,2021-06-01 23:41:30.464315 UTC,851,55493092
Chile,CL,-33.9179515812704,-71.060502221174161,867.84396917525953,28.468,69.868979457136575,0.021655808722362505,2023-09-30 23:59:41.289493 UTC,2021-09-23 17:34:11.575132 UTC,737,4270174
Portugal,PT,39.712425016899637,-8.8548945922920819,898.97659322428649,20.318,72.6603129574278,0.013897363857851111,2023-09-30 23:57:58.020753 UTC,2021-06-01 23:43:46.752450 UTC,851,13942622
Martinique,MQ,14.616494286096531,-61.045303613006439,1112.9231197644863,133.126,10.056341961402333,0.022993613174686848,2023-09-30 20:53:55.504589 UTC,2021-06-02 10:41:12.425953 UTC,850,22419
Belgium,BE,50.873031225299755,4.3357129610010379,1013.449712419304,15.263,57.293583084456557,0.016247422784106368,2023-09-30 23:59:01.305352 UTC,2021-06-02 00:01:04.633023 UTC,850,11104890
Colombia,CO,5.7758734362559192,-74.916135103118648,1133.4552768299552,92.836,37.28786532995953,0.024785855183175221,2023-09-30 23:59:17.139293 UTC,2021-06-01 23:52:59.676925 UTC,851,8468119
Puerto Rico,PR,18.30591721000086,-66.251005341262768,267.48690572891348,45.817,46.168140702109014,0.022903412897923671,2023-09-30 23:52:53.234701 UTC,2021-06-02 00:04:47.463723 UTC,850,348251
Australia,AU,-33.664896665842463,146.31912648397346,1077.3167342948661,23.805,31.420382533983613,0.014705936257763999,2023-09-30 23:59:55.119432 UTC,2021-06-01 23:10:56.022277 UTC,851,52228046
Mexico,MX,20.472192865844029,-99.859073148599975,1008.1448788263722,83.718,11.838389600826996,0.054775103009399889,2023-09-30 23:58:38.651842 UTC,2021-06-02 00:40:11.598345 UTC,850,3103068
Sweden,SE,59.046204704385417,16.156431876933439,673.14994291218068,20.012,66.17599693972285,0.013924256218040661,2023-09-30 23:58:43.947204 UTC,2021-06-02 00:09:42.034852 UTC,850,2078552
United Kingdom,GB,52.15297873022574,-1.0806521368455422,582.02057802078866,13.091,71.717009773980124,0.010809284355069095,2023-09-30 23:59:47.019879 UTC,2021-06-01 08:42:42.839243 UTC,851,73729466
France,FR,47.313811750683918,2.3107437055996791,716.26030570066519,13.251,122.88458557706365,0.012775613809069072,2023-09-30 23:57:24.726762 UTC,2021-06-01 22:02:10.720542 UTC,851,32939006
Spain,ES,40.087931143270666,-2.6644299467408579,791.02363843573551,17.279,101.9444329873113,0.01326768691449645,2023-09-30 23:59:52.313969 UTC,2021-06-01 23:52:44.727922 UTC,851,43356168
Greece,GR,38.24516751937297,23.4273679812131,381.12047006653683,16.4175,22.28474366562644,0.012786053880218385,2023-09-30 23:17:24.955248 UTC,2021-06-02 05:02:38.863684 UTC,850,255500
Norway,NO,60.3718367078332,9.8585657603516488,742.67453633265848,18.292,61.823388243203,0.016341966222937526,2023-09-30 23:56:52.929442 UTC,2021-06-01 23:59:49.596069 UTC,850,2290804
Peru,PE,-11.872658205708529,-76.339617481416852,1764.8180501985441,37.49,26.133233493359835,0.031318138262855531,2023-09-30 23:59:47.239336 UTC,2021-11-10 21:46:44.337482 UTC,689,11671931
Italy,IT,43.944270136484953,11.088881569612509,826.9508310529751,25.96,39.322564364022817,0.012359552240315697,2023-09-30 23:59:54.984541 UTC,2021-06-01 20:42:36.420609 UTC,851,68292905
New Zealand,NZ,-39.094134156503877,174.38607270612627,1351.1488259983335,9.448,87.547238396081269,0.011405223176045417,2023-09-30 23:59:37.424327 UTC,2021-06-01 23:58:27.811188 UTC,851,6250549
Czechia,CZ,49.953572747229778,15.017451297309002,922.17227636582686,18.827,49.4378065456761,0.017525400507150589,2023-09-30 23:58:09.764540 UTC,2021-06-02 00:01:57.560028 UTC,850,2893035
Austria,AT,48.08677086120781,16.042388262642312,1403.7702662028753,30.287,33.275925461245087,0.012953852957032275,2023-09-30 23:59:49.414985 UTC,2021-06-01 23:51:30.692688 UTC,851,12244030
Nigeria,NG,7.2702380022998447,4.9764739694056646,1850.953821849643,24.254,17.794750810886605,0.030285843687568197,2023-09-30 23:59:47.720218 UTC,2021-06-02 00:00:54.621298 UTC,850,2733253
Canada,CA,45.459225930808095,-86.523066504826275,687.56274499707513,17.523,108.08700862517732,0.014831272336908464,2023-09-30 23:59:54.072257 UTC,2021-06-01 23:33:25.918786 UTC,851,56931841
Netherlands,NL,52.219737202982166,5.2244079108719417,343.19216788331153,8.532,78.932300560904338,0.018327577115917849,2023-09-30 23:59:24.428039 UTC,2021-06-01 22:45:37.394935 UTC,851,8298359
Kenya,KE,-1.213161498577648,36.851915487983945,2097.1209877565652,13.079,11.861939556322078,0.05391308241464713,2023-09-30 23:59:34.826892 UTC,2021-06-02 00:01:06.311417 UTC,850,8616378
Dominican Republic,DO,18.645242216796692,-69.976466155101036,466.64231978425676,52.998,20.651378896695352,0.042847634300584532,2023-09-30 23:59:43.094177 UTC,2021-06-02 00:33:17.077780 UTC,850,235096
