CountryName,avg_latitude,avg_longitude,avg_minrtt,median_minrtt,avg_meanthroughputmbps,avg_lossraate,MostRecentTestTime,LeastRecentTestTime,TestSpanDays,count_measurements
Dominican Republic,18.647764653882515,-69.985292741738235,63.922925758194282,55.0,12.14077606425659,0.039756464574052464,2023-09-30 23:35:51.516938 UTC,2021-06-05 14:42:05.575738 UTC,847,73530
Kenya,-1.2868571867290957,36.900967625736051,77.06243616271442,14.692,11.889716110321482,0.070902547050449974,2023-09-30 23:59:05.003246 UTC,2021-06-04 17:01:35.870398 UTC,848,39726
Norway,60.176084239680712,9.39886740043184,28.514897165553847,18.263,69.01268441754155,0.014048716902631294,2023-09-30 23:12:45.609503 UTC,2021-07-07 15:24:42.486567 UTC,815,158867
Peru,-11.701415656265963,-76.620234638141312,183.99709156245916,48.608,17.901111165446345,0.017102853223666781,2023-09-30 23:45:32.039714 UTC,2021-07-19 02:36:37.528239 UTC,803,212325
Puerto Rico,18.320423130628111,-66.154657813377,52.723085725594025,44.196,43.249913224098542,0.026663351740305295,2023-09-30 23:52:53.234701 UTC,2021-06-04 17:40:05.121586 UTC,848,90953
Colombia,6.1521144821603224,-74.927112190440681,81.1397065944525,91.654,29.640678332981071,0.016787913653631994,2023-09-30 23:59:17.139293 UTC,2021-07-03 01:39:52.097815 UTC,819,221383
Sweden,58.588587316054031,15.708943557285577,31.739573203793579,22.633,65.456753113706114,0.0079501759235352364,2023-09-30 23:39:06.344450 UTC,2021-07-01 12:47:23.936869 UTC,821,94797
Mexico,21.755952454725676,-101.10756203912516,85.050972101609943,78.282,9.82304689557812,0.052223732424357329,2023-09-30 23:49:00.680082 UTC,2021-07-20 07:43:06.733965 UTC,802,132194
Greece,38.331040550023644,23.265835079221077,44.37066311679488,28.193,17.676825091262415,0.013972322988082007,2023-09-30 23:36:38.499872 UTC,2021-07-09 11:07:35.744011 UTC,813,176720
Spain,38.924774233842761,-3.3425112695746475,28.185715255853172,23.008,85.4731101634506,0.0069075077149761211,2023-09-30 23:58:38.294043 UTC,2021-06-02 10:45:13.348594 UTC,850,442794
Poland,51.943913144163467,19.892201728322636,41.796133280960369,33.174,86.882473960327872,0.0078240978521094962,2023-09-30 22:21:57.736604 UTC,2021-07-02 07:49:28.187810 UTC,820,85286
Australia,-33.703852853927174,144.77967918725162,64.495544154110519,21.848,32.625048674255041,0.0082521259996736276,2023-09-30 23:49:39.040694 UTC,2021-06-04 03:26:14.299753 UTC,848,113738
Japan,35.5984806179281,138.38108809492437,39.609349798951826,28.681,51.890309415374695,0.0078802051702518815,2023-09-30 23:58:37.576213 UTC,2021-06-02 01:35:58.604964 UTC,850,746586
Portugal,39.650342384887516,-8.8858109811986878,25.889048913940428,19.689,65.969931199943545,0.010748693621565004,2023-09-30 23:32:30.100476 UTC,2021-06-16 19:48:20.945410 UTC,836,78771
Martinique,14.626938095238092,-61.042413784461196,147.5192982456141,135.236,8.1300547076462131,0.026214600239824404,2023-09-28 22:15:56.908991 UTC,2021-07-08 08:19:07.963000 UTC,812,399
