CountryName,avg_latitude,avg_longitude,avg_minrtt,median_minrtt,avg_meanthroughputmbps,avg_lossraate,MostRecentTestTime,LeastRecentTestTime,TestSpanDays,count_measurements
Germany,50.906098423364369,9.5968032630742552,25.544712369126721,19.578,36.648887633128552,0.0051210700346023437,2023-09-30 23:59:30.736778 UTC,2021-06-12 12:58:19.357565 UTC,840,934399
Brazil,-20.816135966192245,-46.099253955755145,92.616912227872461,35.583,51.460846796000659,0.010142684708834209,2023-09-30 23:59:50.455725 UTC,2021-06-22 15:40:47.848551 UTC,830,618693
Belgium,50.89814307891487,4.3716941112998731,20.6074626239142,16.246,37.839256140333312,0.0073480990016017355,2023-09-30 23:59:41.579853 UTC,2021-07-12 22:04:29.091689 UTC,810,143648
Philippines,12.654036370816941,122.22761974233167,61.922722204745462,37.787,18.54706891920997,0.019377873306050595,2023-09-30 23:11:10.098587 UTC,2021-06-05 04:29:31.651215 UTC,847,305124
Chile,-33.626046157265421,-70.970422315196984,62.367765435391469,30.0,51.707890504280535,0.01097747460895245,2023-09-30 23:40:36.357241 UTC,2021-06-02 21:17:04.157916 UTC,850,89988
United Kingdom,52.850077593810276,-1.7017322739714005,19.012180236975997,15.253,82.010242081355358,0.007799799385071313,2023-09-30 23:58:32.473203 UTC,2021-06-08 06:58:40.435187 UTC,844,327713
France,47.106737347378591,2.676929620241884,23.252312568269279,19.417,102.00822050845397,0.0089559246814064578,2023-09-30 23:57:58.554150 UTC,2021-06-15 11:17:29.801897 UTC,837,448590
Saint Barthélemy,17.8833,-62.85,134.82726956521745,126.646,75.50090175454018,0.024976233735877113,2023-03-24 00:27:21.591718 UTC,2021-10-27 20:51:34.768347 UTC,512,230
United States,37.076958120271065,-92.7807500166247,41.48626291000793,35.543,32.810856090898781,0.0075385436919827931,2023-09-30 23:59:41.706888 UTC,2021-06-02 00:17:51.618969 UTC,850,658617
New Zealand,-38.765896004458469,174.4338915177392,20.1725717875087,9.158,75.941224899683959,0.0054907242854887088,2023-09-30 23:43:26.302726 UTC,2021-06-14 02:37:37.845944 UTC,838,52934
Italy,43.595465636944326,11.3783893583958,83.806679811431309,30.427,37.985026695681313,0.0067565682209978911,2023-09-30 23:55:27.576080 UTC,2021-06-02 09:56:09.379820 UTC,850,826210
Czechia,49.976315398327138,14.91010153963682,29.656363303363133,20.863,32.310016671112919,0.0084964943068601157,2023-09-30 23:23:15.972236 UTC,2021-07-20 17:31:17.134474 UTC,802,51051
Austria,48.031838560046083,15.925807893072069,33.666696399261127,28.841,24.567703710379217,0.0049874680192558574,2023-09-30 23:54:36.069678 UTC,2021-07-21 16:15:59.418474 UTC,801,116976
Nigeria,7.4168801240663189,5.3866527362496672,171.57962692630966,29.647,16.379974649435482,0.019535174171866111,2023-09-30 23:31:45.011299 UTC,2021-07-05 13:06:58.456117 UTC,817,86889
Canada,45.037878067354505,-83.47066683390176,20.323723744361597,16.864,196.77984689191595,0.011136649904335922,2023-09-30 23:58:48.677172 UTC,2021-06-03 01:47:31.746473 UTC,849,491523
Netherlands,52.192838152760437,5.0691684595746107,16.255251127199678,11.737,74.919886232929969,0.010404915409366841,2023-09-30 23:53:43.236282 UTC,2021-07-06 22:56:22.885706 UTC,816,179427
